zphot,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus,N_gal
9.0,-19.6,0.2660000000000018,0.42399999999999594,-2.4850000000000003,0.051000000000000156,0.08699999999999974,6
9.0,-18.57,0.4756,0.18999999999999773,-2.27,0.2824,0.39280000000000026,5
9.0,-17.69,0.44200000000000017,0.2519999999999989,-2.0700000000000003,0.5780000000000003,0.4599999999999995,6
10.0,-20.1,0.33440000000000225,0.2231999999999985,-2.06,0.4219999999999997,0.42799999999999994,17
10.0,-19.33,0.15599999999999525,0.18840000000000146,-2.41,0.27520000000000033,0.3415999999999997,14
10.0,-18.44,0.19520000000000337,0.48999999999999844,-2.34,0.37159999999999993,0.31520000000000037,15
11.0,-19.81,0.10719999999999885,0.15719999999999956,-2.68,0.12919999999999998,1.0119999999999996,9
11.0,-19.35,0.10480000000000089,0.2699999999999996,-2.55,0.5459999999999998,0.2904,9
11.0,-18.5,0.17079999999999984,0.36599999999999966,-3.0,0.4299999999999997,0.45999999999999996,9
