ID,zphot,zphot_err_plus,zphot_err_minus,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus
MUV_-21.795_to_-20.07,6,,,-21.795,,,-2.07,0.22,0.22
MUV_-20.07_to_-19.22,6,,,-19.645,,,-2.21,0.29,0.29
MUV_-19.22_to_-18.66,6,,,-18.94,,,-2.27,0.18,0.18
MUV_-18.66_to_-17.11,6,,,-17.885,,,-2.27,0.15,0.15
