ID,zphot,zphot_err_plus,zphot_err_minus,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus
20930,11.4,0.4,0.4,-18.69,0.12,0.1,-1.78,0.21,0.21
25494,10.2,0.5,0.1,-17.67,0.03,0.03,-2.57,0.05,0.06
35653,12.4,0.1,0.2,-18.96,0.06,0.04,-1.33,0.09,0.08
35654,12.3,0.2,0.2,-19.13,0.05,0.04,-1.54,0.07,0.08
38201,10.8,0.1,0.1,-19.02,0.03,0.03,-2.43,0.06,0.08
42089,10.3,0.4,0.5,-20.28,0.04,0.03,-1.79,0.05,0.05
49514,10.9,0.1,0.2,-19.96,0.05,0.05,-2.62,0.09,0.09
