zphot,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus,N_gal
8.0,-22.25,0.15200000000000102,0.23519999999999897,-1.665,0.5194000000000001,0.8262,4
8.0,-21.61,0.08160000000000167,0.05559999999999832,-2.3,0.3915999999999997,0.4748000000000001,4
8.0,-21.314999999999998,0.16059999999999874,0.051400000000001,-2.175,0.6129999999999998,0.9094000000000002,4
9.0,-21.15,1.470799999999997,0.7540000000000013,-2.12,0.22199999999999998,0.14440000000000008,5
9.0,-18.619999999999997,0.20039999999999836,0.19520000000000337,-2.2249999999999996,0.24739999999999962,0.19540000000000024,4
9.0,-18.08,0.13799999999999812,0.11720000000000041,-2.235,0.5802,0.4346000000000001,4
10.0,-20.62,1.4192,0.7403999999999975,-2.0,0.5364,0.20120000000000005,5
10.0,-18.88,0.12679999999999936,0.0843999999999987,-1.53,0.564,2.3120000000000003,5
10.0,-18.21,0.14800000000000324,0.29720000000000013,-3.13,0.6147999999999998,1.6684,5
11.0,-19.58,0.17879999999999896,0.02360000000000184,-2.61,0.25839999999999996,0.20999999999999996,5
11.0,-19.13,0.05999999999999872,0.06960000000000122,-2.71,0.4403999999999999,0.3224,5
11.0,-18.47,0.40119999999999933,0.30600000000000094,-3.31,1.7475999999999998,0.04760000000000009,3
