z,log_stellar_mass,beta,beta_err
9,6.778230345645528,-2.349885317444843,0.0827739154687526
9,7.061910049781518,-2.2720019998985634,0.09183144398114744
9,7.3455897539175075,-2.204320704578136,0.10194812346839599
9,7.629269458053497,-2.154919817691026,0.11647820596664078
9,7.912949162189487,-2.094016999450171,0.13314260654330287
9,8.196628866325476,-1.9943809738456457,0.13978032389978276
9,8.480308570461467,-1.9437274396931086,0.1667851269661596
9,8.763988274597455,-1.873354590032772,0.16922233801847583
9,9.047667978733447,-1.9390553959384236,0.13244344017209367
