z,log_stellar_mass,beta,beta_err
10,6.776294525960957,-2.324610718179994,0.08310495944498304
10,7.04149600506239,-2.249990062017757,0.10047613905050654
10,7.3066974841638235,-2.1996711147651253,0.11693321004337028
10,7.571898963265256,-2.147424003385548,0.14010298703247204
10,7.837100442366689,-2.0983605097714126,0.12340731180624731
10,8.102301921468122,-2.0216544527656914,0.14941144249004587
10,8.367503400569554,-1.999915692665113,0.12225139263473678
10,8.632704879670987,-1.976204033104303,0.1336401151062669
