z,MUV,beta,beta_err
10,-18.761082331339516,-2.1208093309322638,0.14030480668954826
10,-18.25908088684082,-2.1319780785983795,0.16482287360813308
10,-17.757079442342125,-2.1251675415389326,0.1536683887902663
10,-17.255077997843422,-2.1570732998795075,0.13026105111958106
10,-16.753076553344727,-2.1938407632817363,0.13838104137063365
10,-16.25107510884603,-2.1883723104314448,0.15254026212231322
